Sunday Start Times:
Sunday End Times:
Monday Start Times:
6:00 AM: 1
6:30 AM: 1
7:00 AM: 4
8:00 AM: 43
9:00 AM: 14
9:21 AM: 1
9:30 AM: 68
10:00 AM: 10
10:19 AM: 1
11:00 AM: 54
11:30 AM: 4
12:00 PM: 8
12:20 PM: 1
12:30 PM: 6
1:00 PM: 51
1:30 PM: 3
2:00 PM: 3
2:30 PM: 16
3:00 PM: 5
3:10 PM: 1
3:30 PM: 2
4:00 PM: 4
5:00 PM: 2
5:30 PM: 10
6:00 PM: 41
6:30 PM: 37
8:00 PM: 7
Monday End Times:
6:50 AM: 1
7:30 AM: 1
7:50 AM: 4
8:50 AM: 8
9:20 AM: 28
9:50 AM: 7
10:14 AM: 1
10:50 AM: 68
11:00 AM: 1
11:12 AM: 1
11:20 AM: 2
11:50 AM: 14
12:00 PM: 1
12:20 PM: 53
12:50 PM: 15
1:20 PM: 1
1:45 PM: 1
1:50 PM: 8
2:20 PM: 32
2:50 PM: 10
3:20 PM: 4
3:50 PM: 22
4:20 PM: 4
4:30 PM: 2
4:50 PM: 2
5:20 PM: 3
5:30 PM: 2
5:50 PM: 2
6:00 PM: 9
6:10 PM: 1
6:30 PM: 1
6:50 PM: 2
7:20 PM: 1
7:50 PM: 11
8:20 PM: 1
8:50 PM: 8
9:00 PM: 21
9:20 PM: 36
9:50 PM: 9
Tuesday Start Times:
6:45 AM: 6
8:00 AM: 38
9:00 AM: 9
9:21 AM: 1
9:30 AM: 61
10:00 AM: 8
10:19 AM: 1
11:00 AM: 54
11:30 AM: 2
12:00 PM: 4
12:20 PM: 1
12:30 PM: 4
1:00 PM: 43
2:30 PM: 17
3:00 PM: 7
3:10 PM: 3
3:30 PM: 1
4:00 PM: 6
4:30 PM: 1
5:00 PM: 2
5:30 PM: 21
6:00 PM: 42
6:30 PM: 28
7:00 PM: 11
7:30 PM: 2
8:00 PM: 10
Tuesday End Times:
8:50 AM: 5
9:20 AM: 26
9:50 AM: 4
10:14 AM: 1
10:50 AM: 63
11:00 AM: 1
11:12 AM: 1
11:50 AM: 11
12:20 PM: 53
12:50 PM: 10
1:20 PM: 1
1:45 PM: 1
1:50 PM: 3
2:20 PM: 21
2:45 PM: 6
2:50 PM: 10
3:20 PM: 4
3:50 PM: 22
4:20 PM: 3
4:30 PM: 2
4:50 PM: 2
5:20 PM: 5
5:30 PM: 1
5:50 PM: 2
6:00 PM: 9
6:10 PM: 3
6:20 PM: 9
6:29 PM: 2
6:30 PM: 1
6:50 PM: 7
7:20 PM: 2
7:50 PM: 14
8:20 PM: 2
8:50 PM: 11
9:00 PM: 16
9:20 PM: 29
9:50 PM: 20
Wednesday Start Times:
6:00 AM: 1
6:30 AM: 1
6:45 AM: 6
7:00 AM: 5
8:00 AM: 43
8:30 AM: 2
9:00 AM: 8
9:21 AM: 1
9:30 AM: 67
10:00 AM: 10
10:19 AM: 1
11:00 AM: 52
11:30 AM: 4
12:00 PM: 5
12:20 PM: 1
12:30 PM: 6
1:00 PM: 43
1:30 PM: 3
2:00 PM: 3
2:30 PM: 17
2:45 PM: 1
3:00 PM: 6
3:10 PM: 1
3:30 PM: 6
4:00 PM: 9
5:00 PM: 2
5:30 PM: 7
6:00 PM: 43
6:30 PM: 35
7:00 PM: 5
8:00 PM: 9
Wednesday End Times:
6:50 AM: 1
7:30 AM: 1
7:50 AM: 4
8:50 AM: 7
9:20 AM: 29
9:50 AM: 7
10:14 AM: 1
10:50 AM: 65
11:00 AM: 1
11:12 AM: 1
11:20 AM: 2
11:50 AM: 13
12:20 PM: 53
12:50 PM: 10
1:20 PM: 1
1:45 PM: 1
1:50 PM: 6
2:20 PM: 31
2:45 PM: 6
2:50 PM: 6
3:20 PM: 4
3:50 PM: 23
4:20 PM: 7
4:30 PM: 2
4:50 PM: 3
5:20 PM: 4
5:45 PM: 1
5:50 PM: 2
6:00 PM: 5
6:10 PM: 1
6:20 PM: 2
6:30 PM: 5
6:50 PM: 4
7:20 PM: 2
7:50 PM: 14
8:20 PM: 6
8:50 PM: 8
9:00 PM: 18
9:20 PM: 32
9:50 PM: 14
Thursday Start Times:
6:45 AM: 6
8:00 AM: 37
8:30 AM: 2
9:00 AM: 9
9:21 AM: 1
9:30 AM: 61
10:00 AM: 7
10:19 AM: 1
11:00 AM: 54
11:30 AM: 2
12:00 PM: 3
12:20 PM: 1
12:30 PM: 6
1:00 PM: 38
2:00 PM: 1
2:30 PM: 18
3:00 PM: 4
3:10 PM: 1
3:30 PM: 4
4:00 PM: 5
5:00 PM: 4
5:30 PM: 10
6:00 PM: 44
6:30 PM: 18
7:00 PM: 12
7:30 PM: 4
8:00 PM: 8
Thursday End Times:
8:50 AM: 5
9:20 AM: 29
9:50 AM: 3
10:14 AM: 1
10:50 AM: 62
11:00 AM: 1
11:12 AM: 1
11:50 AM: 11
12:00 PM: 1
12:20 PM: 53
12:50 PM: 8
1:20 PM: 3
1:45 PM: 1
1:50 PM: 4
2:20 PM: 22
2:45 PM: 6
2:50 PM: 4
3:20 PM: 6
3:50 PM: 20
4:20 PM: 4
4:50 PM: 3
5:20 PM: 5
5:50 PM: 2
6:00 PM: 4
6:10 PM: 1
6:20 PM: 5
6:30 PM: 4
6:50 PM: 5
7:20 PM: 2
7:50 PM: 13
8:20 PM: 3
8:50 PM: 11
9:00 PM: 24
9:20 PM: 16
9:50 PM: 18
Friday Start Times:
6:00 AM: 1
6:30 AM: 1
7:00 AM: 3
8:00 AM: 28
9:00 AM: 12
9:21 AM: 1
10:00 AM: 11
10:19 AM: 1
11:00 AM: 9
12:00 PM: 9
1:00 PM: 2
2:00 PM: 2
2:30 PM: 2
6:00 PM: 2
6:30 PM: 2
Friday End Times:
6:50 AM: 1
7:30 AM: 1
7:50 AM: 3
8:50 AM: 7
9:50 AM: 8
10:14 AM: 1
10:30 AM: 4
10:50 AM: 16
11:00 AM: 4
11:12 AM: 1
11:50 AM: 11
12:50 PM: 12
1:50 PM: 5
2:50 PM: 1
3:50 PM: 2
4:20 PM: 2
5:00 PM: 2
5:30 PM: 1
8:50 PM: 1
9:00 PM: 1
9:20 PM: 2
Saturday Start Times:
8:00 AM: 2
9:00 AM: 5
10:00 AM: 2
Saturday End Times:
10:50 AM: 2
11:50 AM: 4
3:30 PM: 1
4:00 PM: 2
